ts	phase	decision	why	evidence	result
2026-09-04T10:18:39Z	frame	defined release predicate across package, site, metadata, and public links	public publishing needs checks that can fail before and after release	package.json, README.md, .github/workflows/release.yml	baseline ready
2026-09-04T10:18:39Z	architecture	kept npm lean and moved README media links to immutable GitHub Raw URLs	including 9.6 MB of demo assets would slow every install to fix a renderer-only problem	package.json:files, /tmp/pi-debug-seo-architecture/cross-judge.md	QODER base selected
2026-09-04T10:18:39Z	architecture	chose hand-written static GitHub Pages plus one release-contract checker	no runtime dependency or site generator is needed for four static routes	/tmp/pi-debug-seo-architecture/candidate-qoder.md	design fixed
2026-09-04T10:18:39Z	tooling	changed delegate model plan after Cursor and DeepSeek failed	Cursor region and quota blocks plus DeepSeek balance made those models unusable	/tmp/pi-debug-seo-how.md	using Qoder, Xunfei, and Codex Spark
2026-09-04T10:54:13Z	architecture	superseded the prior delegate-model row; counted QODER and CODEX as the two valid candidates	the Xunfei tool failed and produced no candidate to judge	/tmp/pi-debug-seo-architecture/cross-judge.md	QODER base retained; failed Xunfei output excluded
2026-09-04T10:54:13Z	baseline	captured the unchanged 0.1.3 checkout with the check-only verifier	the release needs real red evidence before the 0.1.4 fixes	.audit/baseline.json	18 failed checks; baseline checkout stayed clean
2026-09-04T11:57:13Z	implementation	replaced the incomplete landing pages with full English and Chinese product routes	users need definition, workflow, evidence, comparison, install, security, and FAQ before choosing the extension	docs/index.html, docs/zh/index.html, docs/site.css	local contract passed
2026-09-04T11:57:13Z	review	accepted precision, image-layout, table-header, focus-ring, and keyboard-focus findings	the review found real overclaims and accessibility defects; style-only requests stayed out	/tmp/pi-debug-ui-seo-review.md	P1 findings fixed
2026-09-04T11:57:13Z	browser	tested four routes at desktop, tablet, and mobile sizes and completed both demos	the shipped surface needs runtime evidence, not only static parsing	/tmp/pi-debug-pages-qa.json	12 route-viewport checks passed
2026-09-04T11:57:13Z	verification	reran tests, typecheck, release contract, HTML parsing, and npm dry-run	each unit must finish green before release work starts	.audit/final-local.json	23 checks passed; tarball stayed at five files
2026-09-04T12:15:02Z	evidence	copied design, review, and browser reports into the branch	reviewers need evidence that survives this machine's temporary directory	.audit/design, .audit/reviews, .audit/browser-qa.json	durable evidence added
2026-09-04T12:15:02Z	review	accepted five verifier hardening notes and kept Pi Gallery lag as a publication gate	the notes removed false passes and false failures without changing release ownership	.audit/reviews/release-verifier.md	review verdict OK
2026-09-04T12:16:58Z	delivery	committed the green product-site unit after the red verifier unit	the ordered commits let reviewers see the old failures before the complete fix	commit 56fb130	local verifier, tests, and typecheck passed
2026-09-04T12:16:58Z	review	recorded every accepted and dismissed review finding	public release review needs a visible disposition, not an unexplained clean result	.audit/reviews/disposition.md	no local blocker remains
2026-09-04T12:21:11Z	trail-review	ran a different-model audit and resolved all five flags	the final handoff needs fresh eyes on evidence quality and pending release gates	.audit/reviews/trail-review.md, .audit/reviews/disposition.md	OK with public release gates still pending
